Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
580,60,20.06666667,46.39666667,19.42666667,44.4,19.79,44.82666667,19.0,46.43,17.1,55.0,6.123333333,87.99333333,17.53,44.26333333,18.06666667,48.63333333,16.89,45.29,5.98,734.4333333,91.16666667,5.833333333,40.0,4.62,8.827837626,8.827837626
430,50,20.13333333,48.0,19.56666667,44.4,19.89,44.9,19.0,46.36333333,17.1,55.09,6.123333333,88.59,17.82333333,45.49333333,18.06666667,48.56,16.96333333,45.29,6.0,734.5,91.0,6.0,40.0,4.6,34.35114233,34.35114233
250,40,20.26,52.72666667,19.73,45.1,19.89,45.49333333,19.0,47.22333333,17.1,55.16333333,6.0675,88.215,17.96333333,46.16,18.03333333,48.66666667,16.89,45.32666667,6.0,734.6166667,90.5,6.0,40.0,4.52,19.20518591,19.20518591
100,10,20.42666667,55.89333333,19.85666667,45.83333333,20.03333333,47.52666667,19.0,48.69666667,17.1,55.5,5.9,88.15666667,17.96333333,45.53333333,18.1,49.19333333,16.89,45.345,6.0,734.7333333,90.0,6.0,40.0,4.43,38.492071,38.492071
100,10,20.56666667,53.89333333,20.03333333,46.75666667,20.1,48.46666667,19.0,48.49,17.15,56.0425,5.8,88.36666667,17.89,44.92666667,18.15,49.2,16.89,45.32666667,6.0,734.85,89.5,6.0,40.0,4.35,24.8849621,24.8849621
90,10,20.73,52.66,20.16666667,47.22333333,20.2,48.53,18.92666667,48.15666667,17.16666667,56.49,5.726666667,88.16,17.76,44.26666667,18.23,49.63333333,16.89,45.29,6.0,734.9666667,89.0,6.0,40.0,4.27,35.88092541,35.88092541
70,30,20.85666667,53.66,20.2,47.05666667,20.2,48.4475,18.89,47.96333333,17.2,56.93333333,5.526666667,87.3,17.7,43.72666667,18.35666667,50.02666667,16.89,45.29,6.0,735.0833333,88.5,6.0,40.0,4.18,49.59530474,49.59530474
80,30,20.89,51.19333333,20.2,46.33,20.2,48.19333333,18.96333333,48.63,17.2,57.06,5.333333333,86.76,17.66666667,43.16,18.53333333,50.2,16.89,45.2,6.0,735.2,88.0,6.0,40.0,4.1,19.00175897,19.00175897
140,40,20.89,49.8,20.2,46.02666667,20.16666667,47.63333333,19.03333333,49.5,17.59333333,70.72666667,5.333333333,87.46333333,17.6,42.69333333,18.66666667,50.26,16.89,45.2,6.0,735.2333333,87.83333333,6.0,40.0,4.07,38.87226107,38.87226107
120,20,20.89,48.43333333,20.2,45.7225,20.16666667,47.3,19.175,49.9475,18.06666667,79.0,5.466666667,87.53,17.6,42.33333333,18.73,50.23,16.89,45.12666667,6.0,735.2666667,87.66666667,6.0,40.0,4.03,46.73526156,46.73526156
190,40,20.96333333,47.63333333,20.26,45.53,20.2,47.02666667,19.26,49.69666667,17.66666667,79.73,5.5,86.95666667,17.53333333,42.06666667,18.85666667,50.29,16.89,45.12666667,6.0,735.3,87.5,6.0,40.0,4.0,10.60712606,10.60712606
110,40,21.03333333,47.06333333,20.29,45.22333333,20.26,46.82666667,19.32333333,49.16666667,17.6,79.25666667,5.56,86.56333333,17.63333333,43.63333333,18.89,50.16333333,16.89,45.06,6.0,735.3333333,87.33333333,6.0,40.0,3.97,32.5836883,32.5836883
110,40,21.1,46.59666667,20.35666667,44.96333333,20.29,46.63333333,19.39,48.42666667,17.56666667,78.39333333,5.623333333,86.33,17.76,43.63333333,18.96333333,50.03,16.89,45.0,6.0,735.3666667,87.16666667,6.0,40.0,3.93,6.277754798,6.277754798
110,30,21.13333333,46.06,20.42666667,44.76,20.29,46.43333333,19.39,48.19333333,17.76,82.46,5.763333333,86.06333333,17.85666667,43.46,19.0,49.76,16.89,44.96666667,6.0,735.4,87.0,6.0,40.0,3.9,13.36103344,13.36103344
110,20,21.2,45.8,20.5,44.76,20.39,46.22333333,19.39,47.8,18.35666667,82.59,5.656666667,85.59,17.79,43.4,19.06666667,49.7,16.89,44.9,5.93,735.4666667,87.16666667,6.0,40.0,3.87,19.30570463,19.30570463
100,30,21.29,45.9,20.53333333,45.09,20.39,46.09,19.39,47.56,18.35666667,70.99,5.53,85.73,17.89,43.79,19.13333333,49.63333333,16.89,44.79,5.87,735.5333333,87.33333333,6.0,40.0,3.83,0.669516658,0.669516658
100,20,21.35666667,45.82666667,20.66666667,45.16333333,20.39,46.09,19.39,47.5,18.6,62.43,5.433333333,86.32666667,17.89,43.79,19.2,49.43333333,16.89,44.79,5.8,735.6,87.5,6.0,40.0,3.8,19.11939785,19.11939785
100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.42666667,47.99333333,18.66666667,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.73,735.6666667,87.66666667,6.0,40.0,3.77,43.48454229,43.48454229
100,20,21.5,45.33333333,20.7,44.93333333,20.39,46.06,19.56666667,48.46666667,18.82333333,56.72666667,5.59,86.46666667,17.865,43.57,19.29,49.32666667,16.89,44.7,5.67,735.7333333,87.83333333,6.0,40.0,3.73,17.01744983,17.01744983
110,20,21.5,45.12666667,20.79,44.63333333,20.39,46.0,19.66666667,48.09333333,18.96333333,55.33333333,5.59,86.325,17.79,43.4,19.29,49.16333333,16.82333333,44.59,5.6,735.8,88.0,6.0,40.0,3.7,24.10400577,24.10400577
400,20,21.53333333,44.96666667,20.79,44.36,20.42666667,45.93333333,19.6,47.5,19.03333333,54.09333333,5.656666667,86.22666667,17.79,43.22333333,19.35666667,49.03,16.82333333,44.53,5.65,735.8833333,87.83333333,6.166666667,40.0,3.72,29.97829127,29.97829127
400,20,21.6,44.76666667,20.89,44.22333333,20.5,45.93333333,19.69666667,47.62666667,19.1,53.36666667,5.833333333,85.76666667,17.79,43.03,19.39,48.86333333,16.89,44.59,5.7,735.9666667,87.66666667,6.333333333,40.0,3.73,24.67706535,24.67706535
390,30,21.6,44.56,20.96333333,43.96333333,20.5,45.79,20.09666667,47.56666667,19.15833333,52.4725,5.9,85.03333333,17.79,42.76,19.39,48.86333333,16.89,44.5225,5.75,736.05,87.5,6.5,40.0,3.75,9.310880071,9.310880071
240,20,21.6,44.36,21.0,43.83333333,20.5,45.73,20.59666667,47.22333333,19.2,51.99,6.0,84.12666667,17.79,42.62666667,19.34,48.95,16.82333333,44.43333333,5.8,736.1333333,87.33333333,6.666666667,40.0,3.77,41.36866593,41.36866593
60,20,21.6,44.2,21.0,43.7,20.5,45.59,20.99666667,47.03,19.2225,51.52,6.0,84.06,17.7,42.62666667,19.29,49.23,16.89,44.5,5.85,736.2166667,87.16666667,6.833333333,40.0,3.78,33.42333691,33.42333691
60,20,21.6,44.2,21.0,43.59,20.4175,45.545,21.16666667,46.52666667,19.29,51.23,5.966666667,84.79,17.7,42.76,19.35666667,49.43,16.89,44.5,5.9,736.3,87.0,7.0,40.0,3.8,39.71199304,39.71199304
60,20,21.6,44.2,21.0,43.59,20.39,45.66333333,21.03333333,46.4,19.29,51.06,5.9,85.59666667,17.7,43.03,19.39,49.89,16.89,45.06666667,5.8,736.4,87.83333333,6.833333333,37.0,3.85,5.397181294,5.397181294
50,10,21.6,44.2,21.0,43.7,20.29,45.73,20.96333333,46.43333333,19.29,50.93333333,5.763333333,86.26,17.7,43.16333333,19.39,50.16333333,16.89,45.26,5.7,736.5,88.66666667,6.666666667,34.0,3.9,36.1855473,36.1855473
70,20,21.5,44.23,20.92666667,43.76,20.29,45.79,20.865,46.5675,19.29,50.86333333,5.623333333,86.59333333,17.7,43.4,19.39,50.46333333,16.89,45.43333333,5.6,736.6,89.5,6.5,31.0,3.95,20.56372148,20.56372148
60,20,21.5,44.36333333,20.89,43.845,20.29,45.79,20.73,46.59,19.29,50.79,5.59,87.49666667,17.7,43.46666667,19.39,50.72333333,16.89,45.56,5.5,736.7,90.33333333,6.333333333,28.0,4.0,41.04731471,41.04731471
40,20,21.39,44.43333333,20.79,43.79,20.23,45.65666667,20.7,46.79,19.2,50.66333333,5.59,87.89666667,17.7,43.62666667,19.39,50.96333333,16.89,45.62666667,5.4,736.8,91.16666667,6.166666667,25.0,4.05,32.35300969,32.35300969
40,10,21.39,44.56,20.79,43.86333333,20.2,45.66333333,20.63333333,46.79,19.2,50.53,5.59,88.63333333,17.7,43.76,19.39,51.16333333,16.89,45.7,5.3,736.9,92.0,6.0,22.0,4.1,39.14663811,39.14663811
30,20,21.29,44.82666667,20.7,44.0,20.2,45.59,20.56666667,46.93333333,19.2,50.5,5.53,89.02666667,17.7,43.93333333,19.46333333,51.5,16.89,45.79,5.27,737.0,92.0,6.0,25.0,4.07,27.65181558,27.65181558
40,20,21.29,44.96666667,20.63333333,44.0,20.16666667,45.5,20.5,47.13333333,19.2,50.43333333,5.53,89.4,17.76,44.33333333,19.39,51.56,16.89,45.86333333,5.23,737.1,92.0,6.0,28.0,4.03,26.48597901,26.48597901
50,20,21.26,45.09,20.6,44.03,20.1,45.5,20.5,47.23,19.16666667,50.36333333,5.53,89.19333333,17.79,44.96333333,19.39,51.86,16.89,45.9,5.2,737.2,92.0,6.0,31.0,4.0,39.46781158,39.46781158
310,10,21.2,45.09,20.6,44.09,20.1,45.5,20.42666667,47.23,19.1,50.29,5.4,89.4,17.79,45.22333333,19.39,52.0,16.89,45.96666667,5.17,737.3,92.0,6.0,34.0,3.97,1.166560117,1.166560117
380,20,21.16666667,45.23,20.5,44.12666667,20.1,45.5,20.46,47.36,19.06666667,50.26,5.2,88.99,17.79,45.32666667,19.35666667,52.09,16.89,46.03,5.13,737.4,92.0,6.0,37.0,3.93,23.86150325,23.86150325
380,20,21.075,45.3725,20.5,44.2,20.1,45.53,20.79333333,47.56,19.0,50.12666667,4.866666667,89.06333333,17.79,45.425,19.29,52.16333333,16.89,46.09,5.1,737.5,92.0,6.0,40.0,3.9,36.61568693,36.61568693
370,20,21.0,45.4,20.39,44.2,20.1,45.59,21.26333333,47.46666667,19.0,50.09,4.933333333,91.16,17.79,45.56,19.29,52.5,16.89,46.2,5.12,737.6333333,92.0,5.833333333,40.0,3.92,34.63657782,34.63657782
120,10,21.0,45.59,20.39,44.26,20.1,45.59,21.59666667,47.4,19.0,50.03,5.0,91.43333333,17.79,45.73,19.23,52.9,16.89,46.2,5.13,737.7666667,92.0,5.666666667,40.0,3.93,23.88098111,23.88098111
50,0,20.92666667,45.59,20.29,44.29,20.16666667,45.53,21.89,46.96666667,19.0,50.03,4.866666667,91.26,17.79,45.86333333,19.29,53.5,16.89,46.29,5.15,737.9,92.0,5.5,40.0,3.95,43.06047384,43.06047384
40,0,20.89,45.66666667,20.23,44.29,20.13333333,45.5,21.82333333,46.22666667,18.92666667,50.09,4.726666667,91.59333333,17.79,45.82666667,19.29,53.96,16.89,46.43333333,5.17,738.0333333,92.0,5.333333333,40.0,3.97,21.90485536,21.90485536
50,0,20.89,46.06,20.2,44.4,20.2,45.5,21.66666667,46.06,18.89,50.09,4.466666667,91.76,17.79,45.96666667,19.29,54.46333333,16.89,46.63333333,5.18,738.1666667,92.0,5.166666667,40.0,3.98,12.23986385,12.23986385
40,0,20.79,46.2,20.2,44.46666667,20.16666667,45.5,21.53333333,45.93333333,18.89,50.1725,4.333333333,91.76,17.79,46.0,19.2225,54.7225,16.89,46.82666667,5.2,738.3,92.0,5.0,40.0,4.0,3.533952357,3.533952357
50,0,20.79,46.2,20.1,44.53,20.125,45.425,21.35666667,45.9,18.89,50.2,4.156666667,91.83333333,17.79,46.0,19.2,54.96666667,16.96333333,46.96666667,5.13,738.4,92.0,4.833333333,40.0,3.93,4.973308009,4.973308009
50,0,20.7,46.26,20.1,44.59,20.13333333,45.4,21.23,45.9,18.79,50.09,4.156666667,92.56666667,17.89,46.0,19.2,54.96666667,17.0,47.23,5.07,738.5,92.0,4.666666667,40.0,3.87,15.81358536,15.81358536
50,0,20.7,46.2,20.0,44.43333333,20.2,45.5,21.06666667,45.9,18.79,50.09,4.333333333,93.53,17.89,46.06,19.2,54.9,17.0,47.36333333,5.0,738.6,92.0,4.5,40.0,3.8,25.93171316,25.93171316
40,0,20.6,46.2,20.0,44.5,20.2,45.5,20.92666667,45.9,18.79,50.09,4.333333333,93.32333333,17.89,46.09,19.2,54.86333333,17.0,47.53,4.93,738.7,92.0,4.333333333,40.0,3.73,33.10025382,33.10025382
40,0,20.6,46.12666667,20.0,44.5,20.2,45.4,20.745,45.9,18.73,50.09,4.19,93.12666667,17.82333333,45.96333333,19.13333333,54.79,17.0,47.66333333,4.87,738.8,92.0,4.166666667,40.0,3.67,20.34150936,20.34150936
30,0,20.56666667,46.06666667,19.89,44.59,20.2,45.4,20.66666667,46.0,18.7,50.09,4.063333333,92.86666667,17.85666667,45.96666667,19.2,54.9,17.0,47.82666667,4.8,738.9,92.0,4.0,40.0,3.6,45.64379621,45.64379621
20,0,20.5,46.2,19.82333333,44.53,20.29,45.46666667,20.53333333,46.0,18.7,50.09,3.863333333,92.96666667,17.85666667,45.96666667,19.2,54.96666667,17.0,47.9,4.82,739.0166667,92.16666667,4.333333333,40.0,3.63,14.68016864,14.68016864
20,0,20.5,46.29,19.79,44.53,20.29,45.4,20.39,46.03,18.7,50.09,3.79,93.09333333,17.89,46.2,19.2,55.09,17.0,48.03,4.83,739.1333333,92.33333333,4.666666667,40.0,3.67,22.95328631,22.95328631
40,0,20.42666667,46.23,19.79,44.53,20.2,45.4,20.39,46.16333333,18.63333333,50.03,3.895,94.045,17.89,46.2,19.2,55.03,17.0,48.09,4.85,739.25,92.5,5.0,40.0,3.7,16.61973371,16.61973371
50,0,20.39,46.29,19.76,44.59,20.2,45.4,20.29,46.2,18.6,50.0,4.19,94.65666667,17.89,46.2,19.2,54.86333333,17.06666667,48.29,4.87,739.3666667,92.66666667,5.333333333,40.0,3.73,32.54352335,32.54352335
50,0,20.39,46.36333333,19.7,44.59,20.2,45.5,20.23,46.26,18.6,50.0,4.263333333,94.79666667,17.89,46.12666667,19.2,54.73,17.06666667,48.36333333,4.88,739.4833333,92.83333333,5.666666667,40.0,3.77,12.90083904,12.90083904
40,0,20.29,46.5,19.7,44.7,20.26,45.5,20.1,46.29,18.6,50.0,4.463333333,95.03,17.89,46.09,19.1,54.56,17.03333333,48.46333333,4.9,739.6,93.0,6.0,40.0,3.8,23.92726241,23.92726241
50,0,20.29,46.545,19.63333333,44.62666667,20.29,45.5,20.03333333,46.29,18.53333333,50.0,4.59,95.03,17.89,45.92,19.1,54.5,17.03333333,48.59,4.92,739.65,92.66666667,5.833333333,40.0,3.77,38.31553353,38.31553353
40,0,20.23,46.5,19.6,44.59,20.29,45.5,20.0,46.4,18.5,50.0,4.726666667,94.86666667,17.89,45.73,19.1,54.5,17.03333333,48.76666667,4.93,739.7,92.33333333,5.666666667,40.0,3.73,4.212345718,4.212345718
40,0,20.2,46.43333333,19.6,44.59,20.29,45.5,19.92666667,46.46666667,18.5,50.0,4.8,94.72666667,17.89,45.7,19.1,54.5,17.03333333,48.9,4.95,739.75,92.0,5.5,40.0,3.7,43.7660665,43.7660665
40,0,20.2,46.56,19.56666667,44.7,20.29,45.56,19.85666667,46.46666667,18.5,50.0,4.8,94.49333333,17.89,45.7,19.1,54.4,17.1,49.045,4.97,739.8,91.66666667,5.333333333,40.0,3.67,16.95364689,16.95364689
60,0,20.16666667,46.36333333,19.5,44.7,20.29,45.59,19.79,46.46666667,18.5,50.0,4.8,94.22666667,17.89,45.59,19.1,54.4,17.1,49.2,4.98,739.85,91.33333333,5.166666667,40.0,3.63,41.97201751,41.97201751
50,0,20.1,46.36333333,19.5,44.79,20.29,45.59,19.76,46.59,18.5,50.0,4.8,94.12666667,17.89,45.66333333,19.1,54.29,17.1,49.26,5.0,739.9,91.0,5.0,40.0,3.6,17.33417446,17.33417446
50,0,20.1,46.5,19.42666667,44.73,20.29,45.59,19.7,46.66333333,18.4725,49.975,4.8,94.0,17.89,45.59,19.1,54.23,17.1,49.29,4.98,739.9666667,91.66666667,4.833333333,40.0,3.68,16.68874654,16.68874654
40,0,20.03333333,46.36,19.39,44.73,20.29,45.59,19.66666667,46.66333333,18.39,49.9,4.763333333,93.56333333,17.89,45.59,19.05,54.045,17.1,49.36333333,4.97,740.0333333,92.33333333,4.666666667,40.0,3.77,23.81756225,23.81756225
40,0,20.0,46.29,19.39,44.79,20.35666667,45.59,19.6,46.59,18.39,49.9,4.763333333,94.02333333,17.89,45.62666667,19.0,54.0,17.1,49.43333333,4.95,740.1,93.0,4.5,40.0,3.85,44.60991679,44.60991679
40,0,20.0,46.29,19.39,44.79,20.39,45.59,19.6,46.62666667,18.39,49.9,4.833333333,94.72666667,17.89,45.62666667,19.06666667,54.0,17.1,49.56,4.93,740.1666667,93.66666667,4.333333333,40.0,3.93,43.21697353,43.21697353
40,0,20.0,46.23,19.39,44.79,20.32333333,45.59,19.6,46.7,18.39,49.9,4.833333333,95.0,17.89,45.59,19.1,53.9,17.1,49.62666667,4.92,740.2333333,94.33333333,4.166666667,40.0,4.02,19.49947717,19.49947717
50,0,19.92666667,46.23,19.29,44.9,20.32333333,45.59,19.5,46.7,18.39,49.9,4.9,95.53,17.89,45.72333333,19.03333333,53.82666667,17.1,49.7,4.9,740.3,95.0,4.0,40.0,4.1,38.86603494,38.86603494
70,10,19.89,46.23,19.29,44.925,20.32333333,45.59,19.5,46.7,18.35666667,49.93333333,4.9975,95.82,17.89,45.9,19.0,53.79,17.1,49.82666667,4.93,740.4333333,94.66666667,4.166666667,38.16666667,4.1,48.03089986,48.03089986
40,0,19.89,46.43,19.29,45.0,20.29,45.59,19.42666667,46.7,18.29,50.0,5.09,96.03,17.89,45.96666667,19.0,53.79,17.1,49.96666667,4.97,740.5666667,94.33333333,4.333333333,36.33333333,4.1,21.73297424,21.73297424
30,0,19.89,46.62666667,19.29,45.12666667,20.29,45.59,19.39,46.7,18.29,50.12666667,5.0,95.9,17.89,45.9,19.0,53.76,17.13333333,50.0,5.0,740.7,94.0,4.5,34.5,4.1,35.62573394,35.62573394
20,10,19.89,46.7,19.218,45.2,20.29,45.5,19.39,46.7,18.29,50.2,5.0,95.96666667,17.89,45.82666667,19.0,53.7,17.2,50.0,5.03,740.8333333,93.66666667,4.666666667,32.66666667,4.1,19.99971844,19.99971844
30,0,19.89,46.86333333,19.2,45.245,20.29,45.43333333,19.29,46.79,18.29,50.23,4.966666667,95.93333333,17.89,45.7225,19.0,53.875,17.2,50.0,5.07,740.9666667,93.33333333,4.833333333,30.83333333,4.1,16.26760759,16.26760759
40,10,19.82333333,46.86333333,19.2,45.36333333,20.2,45.29,19.29,46.79,18.29,50.29,4.9,95.93333333,17.89,45.79,19.0,54.0,17.2,50.0,5.1,741.1,93.0,5.0,29.0,4.1,37.8543574,37.8543574
50,10,19.85666667,46.93,19.2,45.4,20.2,45.29,19.29,46.79,18.29,50.42666667,4.933333333,96.09,17.89,45.86333333,19.0,54.06,17.2,50.09,5.1,741.2166667,92.66666667,5.0,30.83333333,4.05,10.13461276,10.13461276
60,20,19.79,46.79,19.2,45.32666667,20.16666667,45.29,19.29,46.59666667,18.23,50.83333333,4.933333333,96.09,17.89,45.52,18.92666667,53.8,17.2,49.96333333,5.1,741.3333333,92.33333333,5.0,32.66666667,4.0,35.55606112,35.55606112
60,20,19.79,46.895,19.175,45.195,20.1,45.29,19.26,46.29666667,18.2,51.26666667,5.0,96.09,17.89,45.14,18.9725,53.15,17.2,49.72333333,5.1,741.45,92.0,5.0,34.5,3.95,6.084596051,6.084596051
70,20,19.79,47.42666667,19.1,45.03,20.1,45.29,19.2,46.09,18.2,51.52666667,5.0,96.09,17.85666667,44.83333333,18.89,52.8,17.2,49.46333333,5.1,741.5666667,91.66666667,5.0,36.33333333,3.9,12.2744257,12.2744257
60,30,19.79,48.36666667,19.1,45.0,20.1,45.29,19.16666667,45.96666667,18.1,51.82666667,5.0,96.09,17.79,44.56666667,18.85666667,52.36333333,17.15,48.995,5.1,741.6833333,91.33333333,5.0,38.16666667,3.85,7.165218971,7.165218971
140,20,19.79,48.66666667,19.1,45.0,20.2,45.29,19.16666667,45.9,18.1,51.96666667,5.06,96.15666667,17.79,44.32666667,18.79,51.96333333,17.1,48.63333333,5.1,741.8,91.0,5.0,40.0,3.8,11.98147075,11.98147075
110,30,19.79,48.53333333,19.06666667,45.06,20.13333333,45.29,19.2,45.76,18.1,52.12666667,5.09,96.02666667,17.85666667,44.66,18.79,51.63333333,17.1,48.36,5.05,741.8833333,91.0,5.0,40.0,3.73,2.946718864,2.946718864
90,10,19.89,50.0,19.02222222,45.04444444,20.15,45.245,19.2,45.62666667,18.03333333,52.2,5.09,95.76,18.0,45.06333333,18.79,51.395,17.1,48.02666667,5.0,741.9666667,91.0,5.0,40.0,3.67,32.11441293,32.11441293
60,0,19.89,48.73333333,19.1,45.2,20.1,45.2,19.1,45.52666667,18.05,52.4,5.0,95.45666667,18.0,44.45666667,18.7,51.045,17.1,47.76666667,4.95,742.05,91.0,5.0,40.0,3.6,43.81346063,43.81346063
60,0,19.89,48.02666667,19.03333333,45.12666667,20.1,45.2,19.1,45.4,18.0,52.5,4.793333333,94.79,17.89,43.96,18.7,50.76,17.1,47.46666667,4.9,742.1333333,91.0,5.0,40.0,3.53,38.94573387,38.94573387
60,0,19.89,47.63333333,19.0,45.09,20.1,45.2,19.1,45.36333333,18.0,52.56,4.466666667,94.19333333,17.89,43.56666667,18.7,50.645,17.03333333,47.26666667,4.85,742.2166667,91.0,5.0,40.0,3.47,39.86544129,39.86544129
50,0,19.85666667,47.06333333,19.0,45.03,20.1,45.2,19.1,45.23,18.0,52.79,4.2975,94.45,17.85666667,43.1,18.7,50.42,17.0,46.93,4.8,742.3,91.0,5.0,40.0,3.4,22.76372268,22.76372268
60,0,19.79,46.65666667,19.0,44.96666667,20.1,45.16333333,19.1,45.09,17.92666667,52.79,4.063333333,94.19333333,17.79,42.76666667,18.63333333,50.15666667,17.06666667,46.79,4.88,742.3833333,91.0,5.0,38.16666667,3.48,20.5042041,20.5042041
50,0,19.79,46.33333333,19.0,44.82666667,20.1,45.09,19.1,44.96666667,17.89,52.76,4.03,94.66666667,17.79,42.43,18.66666667,50.02666667,17.03333333,46.59,4.97,742.4666667,91.0,5.0,36.33333333,3.57,40.54351214,40.54351214
30,0,19.79,46.06666667,19.0,44.645,20.1,45.16333333,19.03333333,44.76666667,17.89,52.03333333,4.09,95.0,17.79,42.23,18.6,49.82666667,17.03333333,46.39,5.05,742.55,91.0,5.0,34.5,3.65,30.24666451,30.24666451
40,0,19.76,45.86333333,18.96333333,44.56,20.03333333,44.96333333,19.0,44.66333333,18.0,50.9,4.123333333,95.39666667,17.7,41.96666667,18.6,49.66333333,17.0,46.16333333,5.13,742.6333333,91.0,5.0,32.66666667,3.73,32.7361964,32.7361964
30,0,19.7,45.79,18.96333333,44.43333333,20.0,44.9,19.06666667,44.59,18.0,50.42666667,4.263333333,95.79666667,17.7,41.82666667,18.6,49.59,17.0,46.03,5.22,742.7166667,91.0,5.0,30.83333333,3.82,17.6598636,17.6598636
260,0,19.7,45.66333333,18.89,44.29,20.0,44.9,19.1,44.69333333,18.0,49.93,4.463333333,96.26,17.7,41.66333333,18.6,49.46666667,17.0,45.86333333,5.3,742.8,91.0,5.0,29.0,3.9,13.51300729,13.51300729
500,0,19.7,45.59,18.89,44.23,19.89,44.9,19.16666667,45.02666667,18.0,49.65666667,4.73,96.46666667,17.7,41.59,18.53333333,49.4,17.0,45.73,5.48,742.8833333,90.16666667,5.0,30.83333333,3.95,49.63420306,49.63420306
450,0,19.73,47.79333333,18.92666667,44.23,19.89,44.9,19.36,45.36,18.0,49.5,5.03,96.56,17.7,41.5,18.5,49.26,17.0,45.66333333,5.67,742.9666667,89.33333333,5.0,32.66666667,4.0,31.67466322,31.67466322
50,10,19.79,48.79333333,19.0,44.36333333,19.89,44.86333333,19.69333333,45.56,18.0,49.56,5.156666667,96.5,17.7,41.4,18.5,49.2,17.0,45.46333333,5.85,743.05,88.5,5.0,34.5,4.05,10.66040676,10.66040676
60,0,19.89,47.94,19.03333333,44.56666667,19.96333333,44.86333333,20.0,45.13333333,18.03333333,49.62666667,5.333333333,96.56,17.7,41.32666667,18.5,49.09,17.03333333,45.29,6.03,743.1333333,87.66666667,5.0,36.33333333,4.1,6.468617404,6.468617404
60,0,19.89,47.16,19.03333333,44.56666667,19.92666667,44.79,20.06666667,44.86,18.1,49.56666667,5.4,96.29333333,17.7,41.26,18.5,49.09,17.03333333,45.23,6.22,743.2166667,86.83333333,5.0,38.16666667,4.15,23.90590172,23.90590172
